date,consumption_kwh,device
2022-02-22 22:00:00-03:00,0.2308668655,a32ab0af-970c-11ec-9779-a463a116a9e2
2022-02-22 23:00:00-03:00,0.2394224048,a32ab0af-970c-11ec-9779-a463a116a9e2
2022-02-23 00:00:00-03:00,0.2346844281,a32ab0af-970c-11ec-9779-a463a116a9e2
2022-02-23 01:00:00-03:00,0.2754718925,a32ab0af-970c-11ec-9779-a463a116a9e2
2022-02-23 02:00:00-03:00,0.2534549689,a32ab0af-970c-11ec-9779-a463a116a9e2
2022-02-23 03:00:00-03:00,0.2378849171,a32ab0af-970c-11ec-9779-a463a116a9e2
2022-02-23 04:00:00-03:00,0.2363285824,a32ab0af-970c-11ec-9779-a463a116a9e2
2022-02-23 05:00:00-03:00,0.2141556567,a32ab0af-970c-11ec-9779-a463a116a9e2
2022-02-23 06:00:00-03:00,0.1363605596,a32ab0af-970c-11ec-9779-a463a116a9e2
2022-02-23 07:00:00-03:00,0.2114771631,a32ab0af-970c-11ec-9779-a463a116a9e2
2022-02-23 08:00:00-03:00,0.1186537242,a32ab0af-970c-11ec-9779-a463a116a9e2
2022-02-23 09:00:00-03:00,0.0890367295,a32ab0af-970c-11ec-9779-a463a116a9e2
2022-02-23 10:00:00-03:00,0.2004414759,a32ab0af-970c-11ec-9779-a463a116a9e2
2022-02-23 11:00:00-03:00,0.1731195144,a32ab0af-970c-11ec-9779-a463a116a9e2
2022-02-23 12:00:00-03:00,0.1431851083,a32ab0af-970c-11ec-9779-a463a116a9e2
